n_estimators,test_accuracy,test_precision,test_recall,train_accuracy,train_precision,train_recall,cv_accuracy,prediction_time_seconds,avg_prediction_time_per_sample,avg_feature_extraction_time_per_sample,avg_classifier_prediction_time_per_sample,avg_residual_generation_time_per_sample
1,0.7972850678733032,0.8059830841398522,0.7972850678733032,0.8162480199140076,0.8239547477825574,0.8162480199140076,0.8439538658272674,1.166808176955652,0.0010559350017698209,3.0770021326401655e-06,1.1890722076277927e-06,0.0010516689274295528
6,0.857918552036199,0.8581263815282546,0.857918552036199,0.8728219054084635,0.8735983342424287,0.8728219054084635,0.8810641681421731,1.167038250884485,0.001056143213470122,2.988107603599583e-06,1.4861784369697398e-06,0.0010516689274295528
11,0.8615384615384616,0.863924131633128,0.8615384615384616,0.8886625933469111,0.8915518385725917,0.8886625933469111,0.8933730080661026,1.1677127370447633,0.001056753608185306,2.9853026791395645e-06,2.0993780766137586e-06,0.0010516689274295528
16,0.8914027149321267,0.8951630729235459,0.8914027149321267,0.9164969450101833,0.9188445649347369,0.9164969450101833,0.9002528034625221,1.1673968324274537,0.0010564677216538044,2.0025003010331237e-06,2.7962939232183256e-06,0.0010516689274295528
21,0.8886877828054298,0.8923378577689856,0.8886877828054298,0.916949536094139,0.919563685687671,0.916949536094139,0.9033300544297986,1.1676025876612184,0.0010566539254852655,1.8784363345323106e-06,3.106561721180359e-06,0.0010516689274295528
50,0.8877828054298642,0.89124335492126,0.8877828054298642,0.9097080787508486,0.9125969969849665,0.9097080787508486,0.9065896124336023,1.1719756612390992,0.0010606114581349314,1.8493082728321196e-06,7.093222432546486e-06,0.0010516689274295528
100,0.9058823529411765,0.9108083374612002,0.9058823529411765,0.9223806291016067,0.9245610724913434,0.9223806291016067,0.9093040527247688,1.1771250257105348,0.001065271516480122,1.9701357880329117e-06,1.1632453262536235e-05,0.0010516689274295528
150,0.9104072398190045,0.9149246407169801,0.9104072398190045,0.9293957909029192,0.9313265636713758,0.9293957909029192,0.9147345727588695,1.1828327664942262,0.0010704368927549558,1.912526954892534e-06,1.6855438370510465e-05,0.0010516689274295528
200,0.9149321266968325,0.9188139589981484,0.9149321266968325,0.9321113374066531,0.9339179640228197,0.9321113374066531,0.9187163092661814,1.1896029004663942,0.001076563710829316,1.9604264341328477e-06,2.2934356965630304e-05,0.0010516689274295528
250,0.9131221719457013,0.9165872746575555,0.9131221719457013,0.930979859696764,0.9328361135208727,0.930979859696764,0.9199837694275035,1.1946163663477418,0.0010811007840251057,1.8877141615923714e-06,2.7544142433960513e-05,0.0010516689274295528
300,0.9203619909502262,0.9235524390270771,0.9203619909502262,0.9321113374066531,0.9336921815206015,0.9321113374066531,0.9212513935340023,1.203025389632654,0.0010887107598485555,1.96538899279288e-06,3.5076443426209875e-05,0.0010516689274295528
350,0.9194570135746606,0.9226809623987048,0.9194570135746606,0.9332428151165422,0.9346998250465799,0.9332428151165422,0.9225183618597942,1.206023264846277,0.0010914237690916534,1.9058382888724901e-06,3.7849003373228044e-05,0.0010516689274295528
400,0.9176470588235294,0.921055732467883,0.9176470588235294,0.9323376329486309,0.9338476419306161,0.9323376329486309,0.9214322250639386,1.2135451325983522,0.001098230889229278,1.8792993882123163e-06,4.468266241151283e-05,0.0010516689274295528
450,0.918552036199095,0.9219836066536724,0.918552036199095,0.9318850418646752,0.9334240136274616,0.9318850418646752,0.9210699062233589,1.2200420388788698,0.0011041104424243165,1.9856707542730134e-06,5.0455844240490664e-05,0.0010516689274295528
500,0.9194570135746606,0.922766014723982,0.9194570135746606,0.9316587463226974,0.9331997478571724,0.9316587463226974,0.921975211489278,1.2244828233332155,0.0011081292518852629,1.8892245055323813e-06,5.4571099950177634e-05,0.0010516689274295528
