n_estimators,test_accuracy,test_precision,test_recall,train_accuracy,train_precision,train_recall,cv_accuracy,prediction_time_seconds,avg_prediction_time_per_sample
1,0.7169287696577243,0.7136072850228454,0.7169287696577243,0.7217210270645386,0.7130925565678685,0.7217210270645386,0.7388948847089457,0.0031588077545166016,2.9221163316527304e-06
10,0.8233117483811286,0.850585468218383,0.8233117483811286,0.8433957899606754,0.864930836459264,0.8433957899606754,0.8206874635968069,0.0041866302490234375,3.8729234496054e-06
25,0.8214616096207216,0.8508063180289034,0.8214616096207216,0.8371501272264631,0.8599292142559748,0.8371501272264631,0.8256842087230616,0.0064847469329833984,5.9988408260715986e-06
50,0.8371877890841813,0.8582297583596796,0.8371877890841813,0.8531112653250058,0.8685985679137663,0.8531112653250058,0.8425237263165108,0.009262561798095703,8.56851230166115e-06
75,0.8418131359851989,0.8629181818142369,0.8418131359851989,0.8547305112190609,0.8699920476307138,0.8547305112190609,0.8488135128653166,0.011771440505981445,1.088939917297081e-05
100,0.8464384828862165,0.8657074271126484,0.8464384828862165,0.8572750404811473,0.8717783929535192,0.8572750404811473,0.851774762736835,0.015174627304077148,1.4037583075001987e-05
125,0.8427382053654024,0.8632640017608019,0.8427382053654024,0.8598195697432338,0.8739053414232574,0.8598195697432338,0.853255730290883,0.01739645004272461,1.609292325876467e-05
150,0.8418131359851989,0.8624715120582369,0.8418131359851989,0.8577376821651631,0.8728455189488157,0.8577376821651631,0.8499241100489943,0.02021050453186035,1.869611890088839e-05
175,0.851063829787234,0.8686599367344566,0.851063829787234,0.8605135322692574,0.8743061028906416,0.8605135322692574,0.8558462671737418,0.023279190063476562,2.1534865923660095e-05
200,0.8538390379278445,0.8703299317462955,0.8538390379278445,0.8623640990053204,0.8753560989347772,0.8623640990053204,0.8578809058827559,0.0274965763092041,2.54362408040741e-05
225,0.851063829787234,0.8686599367344566,0.851063829787234,0.8639833448993754,0.8766068053864967,0.8639833448993754,0.8589920169938672,0.029278039932250977,2.708421825370118e-05
250,0.8547641073080481,0.8710818506844513,0.8547641073080481,0.8642146657413833,0.8771914903798926,0.8642146657413833,0.860842840990852,0.03201460838317871,2.9615733934485394e-05
275,0.8547641073080481,0.8713626983562228,0.8547641073080481,0.863058061531344,0.8758880555102304,0.863058061531344,0.8610278548668928,0.03583574295043945,3.3150548520295516e-05
300,0.8556891766882516,0.8718352273199823,0.8556891766882516,0.8644459865833911,0.8767771559655162,0.8644459865833911,0.860657998423956,0.03786134719848633,3.5024372986573846e-05
